iter	RMSE
565	0.7454784563
566	0.7452577888
567	0.7450720153
568	0.7448570203
569	0.7446142334
570	0.7443090881
571	0.7440666118
572	0.7439232799
573	0.7434061575
574	0.7431323897
575	0.7427384322
576	0.7426021086
577	0.7423502029
578	0.7420648897
579	0.7420294963
580	0.7417919986
581	0.7416172946
582	0.7414958495
583	0.7413384724
584	0.7411260076
585	0.740670416
586	0.7405103168
587	0.7401339093
588	0.7397958789
589	0.7394298002
590	0.7391822606
591	0.7389936328
592	0.738737201
593	0.7383316196
594	0.7381449665
595	0.7378668732
596	0.7376545528
597	0.7374145682
598	0.7371066498
599	0.7368066356
600	0.7365401399
601	0.7362858557
602	0.7360657684
603	0.7357074229
604	0.7355422704
605	0.7353818414
606	0.7350458651
607	0.7347258111
608	0.7345214671
609	0.7341966014
610	0.7338919121
611	0.7335496686
612	0.7331728085
613	0.7329100038
614	0.7327307342
615	0.7326327816
616	0.7323961786
617	0.7321597562
618	0.7318219393
619	0.7315420818
620	0.7312702799
621	0.7309978716
622	0.7305307052
623	0.7302917453
624	0.7300884974
625	0.7298850864
626	0.7296850875
627	0.7294558326
628	0.7293092153
629	0.7291715578
630	0.7289595688
631	0.728846841
632	0.7286520973
633	0.7284844592
634	0.7282645922
635	0.728048689
636	0.7278019819
637	0.7275867734
638	0.7272679274
639	0.7270039009
640	0.7268227672
641	0.7265886638
642	0.7263702942
643	0.7262301387
644	0.72598756
645	0.7258809553
646	0.7256101898
647	0.7253659443
648	0.7251742347
649	0.7249361071
650	0.724760096
651	0.7246008039
652	0.7241316049
653	0.7238757879
654	0.7235766313
655	0.7234256328
656	0.7232365993
657	0.7229832023
658	0.7227214073
659	0.7224971616
660	0.7223842974
661	0.7220228952
662	0.7218934864
663	0.7217669182
664	0.7215417855
665	0.7213136638
666	0.7211923781
667	0.7210428874
668	0.720826239
669	0.7204861136
670	0.7203934169
671	0.7201091104
672	0.7199364634
673	0.7196099116
674	0.7194701716
675	0.7192747863
676	0.7189116312
677	0.7186337447
678	0.7183970063
679	0.7182428189
680	0.7180143905
681	0.7177406041
682	0.7175792814
683	0.7174006758
684	0.7172084279
685	0.7170113731
686	0.7168236203
687	0.7166042135
688	0.7162860052
689	0.7159930859
690	0.7156811026
691	0.7154692891
692	0.7152488207
693	0.7151557352
694	0.7149901421
695	0.7147618879
696	0.7146544004
697	0.7144075565
698	0.7140115351
699	0.7136226408
700	0.7133356155
701	0.7131350104
702	0.7128373375
703	0.7125318207
704	0.7122416058
705	0.7120852132
706	0.7119879963
707	0.7116751262
708	0.7113219101
709	0.7111448958
710	0.7107311181
711	0.7105906074
712	0.7104406452
713	0.7103525935
714	0.7101571397
715	0.7100418463
716	0.7099050133
717	0.7097785142
718	0.7095448341
719	0.7093440361
720	0.709134725
721	0.7089992919
722	0.7088728607
723	0.708664082
724	0.7083888164
725	0.7082902457
726	0.708069241
727	0.7079531566
728	0.7076988536
729	0.7075059326
730	0.7072801752
731	0.7070165853
732	0.7068442627
733	0.7067040121
734	0.7064838463
735	0.7062024424
736	0.7059958295
737	0.7055864879
738	0.7054891392
739	0.7050970768
740	0.7048728709
741	0.7047317464
742	0.7045062806
743	0.7043067646
744	0.7041121657
745	0.7039789225
746	0.7037427505
747	0.7035580089
748	0.7032424271
749	0.7029289637
750	0.7026963866
751	0.7024702838
752	0.7022040718
753	0.7019355693
754	0.7016838768
755	0.7015847458
756	0.7014434037
757	0.7012676435
758	0.7010724408
759	0.7008981661
760	0.7007580221
761	0.7006100486
762	0.7002788688
763	0.7000456432
764	0.6997939119
765	0.6995684857
766	0.6992637205
767	0.6990657011
768	0.698861159
769	0.6985041292
770	0.6981593579
771	0.697951061
772	0.6977741821
773	0.6976391887
774	0.6973403992
775	0.697169898
776	0.6969539105
777	0.6967112687
778	0.6963615241
779	0.696119654
780	0.6958666896
781	0.6956999185
782	0.6955519628
783	0.6952327737
784	0.6949573295
785	0.694765184
786	0.6945303361
787	0.6943096316
788	0.6940435967
789	0.6937936177
790	0.6935842875
791	0.6935063059
792	0.693330928
793	0.693085631
794	0.6929144656
795	0.6927152836
796	0.6924758544
797	0.6922702932
798	0.692064064
799	0.6919357331
800	0.6916105835
801	0.6913908715
802	0.6910981689
803	0.6909927374
804	0.6908116324
805	0.6906103883
806	0.6904821338
807	0.6901528901
808	0.6899918553
809	0.6897696682
810	0.6895553716
811	0.6892864523
812	0.6890896505
813	0.6888706991
814	0.6886996162
815	0.688559321
816	0.6884228995
817	0.6882664086
818	0.6881783635
819	0.6879193841
820	0.6877178701
821	0.6873779218
822	0.687167141
823	0.6869529642
824	0.6867560025
825	0.6865464775
826	0.6862922647
827	0.6861572209
828	0.6859200023
829	0.68568779
830	0.6855248002
831	0.685378397
832	0.685218368
833	0.6850566337
834	0.6848878237
835	0.6846985264
836	0.6844777918
837	0.6842586087
838	0.6840855158
839	0.6839068808
840	0.683705316
841	0.6835524032
842	0.6833947484
843	0.683267718
844	0.6831689646
845	0.6830150932
846	0.6828474715
847	0.6826352175
848	0.6824207836
849	0.6822257452
850	0.6820040331
851	0.6818179264
852	0.6814888956
853	0.6812405961
854	0.6809973971
855	0.6807183607
856	0.6804464254
857	0.6803493817
858	0.6801465523
859	0.6799555707
860	0.6796777092
861	0.6794088481
862	0.6791659011
863	0.678981695
864	0.6788219446
865	0.6785602359
866	0.6784207247
867	0.6783229482
868	0.6780441978
869	0.6777531269
870	0.6775470171
871	0.6773787352
872	0.6771504699
873	0.6769611794
874	0.6768062821
875	0.6766995918
876	0.6765255532
877	0.6763741874
878	0.6761169962
879	0.6759352032
880	0.6757353373
881	0.6755318017
882	0.6752823667
883	0.6751554111
884	0.6749119883
885	0.6747002148
886	0.6744600846
887	0.6743501413
888	0.6741779075
889	0.6739041061
890	0.6736928096
891	0.6736160092
892	0.6734611282
893	0.6732241964
894	0.673140192
895	0.6728601075
896	0.6727547169
897	0.6724955531
898	0.6722179468
899	0.6720543805
900	0.6718430534
901	0.6717184611
902	0.6715291568
903	0.6713984697
904	0.6712593644
905	0.6710840505
906	0.670912057
907	0.6708070099
908	0.6706353021
909	0.6703802881
910	0.6701011775
911	0.6698810951
912	0.6696160073
913	0.6695161241
914	0.6694039061
915	0.6691690828
916	0.6690992322
917	0.6689089578
918	0.6686121484
919	0.668415964
920	0.6683233671
921	0.6682485924
922	0.6680956991
923	0.6679545303
924	0.6677475731
925	0.6676449044
926	0.6673633607
927	0.6671303083
928	0.6668723178
929	0.6665969436
930	0.6663791973
931	0.6662004171
932	0.6659923111
933	0.6657882957
934	0.6655882842
935	0.6654011211
936	0.6652835596
937	0.6650889616
938	0.66492943
939	0.6647705282
940	0.6645630973
941	0.6643600358
942	0.6641519116
943	0.6639411498
944	0.6637525592
945	0.6635341654
946	0.6632368397
947	0.6629684586
948	0.6627369674
949	0.6625905562
950	0.6624623425
951	0.6622563557
952	0.6620317299
953	0.6618594479
954	0.6617020564
955	0.6615246549
956	0.6613373008
957	0.6611184412
958	0.660935015
959	0.6608207751
960	0.6605608348
961	0.6603320592
962	0.6601881717
963	0.6599746702
964	0.6597426594
965	0.659576828
966	0.6593735646
967	0.6592715677
968	0.6590727382
969	0.6589317692
970	0.6588043435
971	0.6586047466
972	0.6583133229
973	0.6581740087
974	0.658017381
975	0.6578819566
976	0.6575332492
977	0.6572579464
978	0.6571726402
979	0.6570089321
980	0.6568409323
981	0.656615078
982	0.6564849605
983	0.6562645786
984	0.6561449025
985	0.6558895083
986	0.655675224
987	0.6555400434
988	0.6553731821
989	0.6550904378
990	0.6549561579
991	0.654725614
992	0.6546067136
993	0.6544466109
994	0.6541233487
995	0.653959545
996	0.6538452618
997	0.6537328417
998	0.6535563866
999	0.6534417153
